Term,ZScore
pourtoi,-4.6290458511643235
straykids,-2.764865279201406
comedy,-2.6617489219090453
pasticceria,-2.242048565093527
capcut,-1.6645281686427629
ironia,-1.4446430457142532
commedia,-1.3577066317887105
foryoupage,-1.030561861487487
car,-0.9427409051499842
seguimisevuoi,-0.8693592592142032
humour,-0.8227233801553351
intelligenzaartificiale,-0.7929657941897454
learnfromkhaby,-0.7186905096209012
humor,-0.7148255979772281
prank,-0.7031338770107767
pastry,-0.6943591486133825
youmakestraykidsstay,-0.6943591486133825
dessert,-0.6943591486133825
dolci,-0.6943591486133825
스트레이키즈,-0.6943591486133825
patisserie,-0.6943591486133825
changbin,-0.6847519902359623
방찬,-0.6847519902359623
bangchan,-0.6847519902359623
창빈,-0.6847519902359623
andiamoneiperte,-0.6254669401388571
skibidichallenge,-0.5303933033548022
dc,-0.5303933033548022
help,-0.5303933033548022
relationship,-0.5303933033548022
amore,-0.5108785815343126
neiperteee,-0.5108785815343126
estate,-0.47535761830700696
acqua,-0.4670359325371541
trends,-0.4670359325371541
amiche,-0.3737830160303174
summer,-0.3737830160303174
ai,-0.306393082778424
janniksinner,-0.27873347971389334
viralvideo,-0.20888401456537706
pizza,-0.19625849248648952
gambegonfie,-0.19625849248648952
outfitdelgiorno,-0.19625849248648952
lifeguard,-0.19625849248648952
coscechesfregano,-0.19625849248648952
calisthenics,-0.19625849248648952
carabinieri,-0.19625849248648952
casa,-0.19625849248648952
consigli,-0.19625849248648952
consigliodasorea,-0.19625849248648952
outfitinspo,-0.16300428995396363
calcio,-0.1353798005401057
voliamoneiperte,-0.12972560899172136
jet2holidays,-0.09110682939789568
love,-0.07274656309814066
sarachehaipresotuttoelhaibuttatovia,-0.041114984898076606
parati,-0.027241355653500176
virale,0.027799992393589205
focaccia,0.10104352474725922
donnarumma,0.10104352474725922
capagna,0.10104352474725922
azul,0.10104352474725922
dannylazzarin,0.10104352474725922
concorsi,0.10104352474725922
militari,0.10104352474725922
pag,0.10104352474725922
motovlog,0.10104352474725922
gymmeme,0.10104352474725922
lidodeicarabinieri,0.10104352474725922
mt09,0.10104352474725922
nazionale,0.10104352474725922
leazzurresiamonoi,0.10104352474725922
gymlife,0.10104352474725922
fypage,0.10104352474725922
grecia,0.10104352474725922
grotta,0.10104352474725922
gymcomedy,0.10104352474725922
gymhumor,0.10104352474725922
gymbeamit,0.10104352474725922
gymbro,0.10104352474725922
kroos,0.10104352474725922
iwokeupinanewbugatti,0.10104352474725922
jet2holiday,0.10104352474725922
gympov,0.10104352474725922
diverlandwaterpark,0.10104352474725922
devvv,0.10104352474725922
fidanzatadiuncarabiniere,0.10104352474725922
cinesi,0.10104352474725922
cegliemessapica,0.10104352474725922
chiarafacchetti,0.10104352474725922
cc,0.10104352474725922
caserma,0.10104352474725922
chiena,0.10104352474725922
raffaellacarrà,0.10104352474725922
zrcebeach,0.10104352474725922
zanzibarisland,0.10104352474725922
realmadrid,0.10104352474725922
risate,0.10104352474725922
sandali,0.10104352474725922
sandal,0.10104352474725922
split,0.10104352474725922
stipendi,0.10104352474725922
spiaggia,0.10104352474725922
tiktokshopitalia,0.10104352474725922
weuro2025,0.10104352474725922
wimbledon2025,0.10104352474725922
trecimedilavaredo,0.10104352474725922
trekking,0.10104352474725922
ultra,0.10104352474725922
zanzibartiktok,0.10104352474725922
showtimegp,0.10104352474725922
taxi,0.10104352474725922
saràchehaipresotuttoelohaibuttatovia,0.10104352474725922
esercito,0.10104352474725922
divertenti,0.10104352474725922
dolomiti,0.10104352474725922
auronzo,0.10104352474725922
azzurre,0.10104352474725922
anpion98,0.10104352474725922
funnytiktok,0.11073593969872032
sinner,0.11966640966733894
ducati,0.12799457455254656
agv,0.12799457455254656
videoviral,0.12799457455254656
croatia,0.1358313158196898
concertoultimo,0.1358313158196898
bikersoftiktok,0.1358313158196898
achiena,0.1432573518291453
zanzibar,0.1432573518291453
skibidiboppi,0.1571073833903635
neiperte,0.15837401455073186
meme,0.19309072270517655
wimbledon,0.36002849436144624
napoli,0.36192318214665603
tennis,0.3660860304025452
football,0.3660860304025452
biker,0.3699036953541321
relatable,0.3699036953541321
ultimo,0.3699036953541321
malta,0.37523784438313673
fypシ,0.37523784438313673
couplegoals,0.38262598121566144
travel,0.38262598121566144
neipertee,0.3928932268355649
viralditiktok,0.4073791874781947
bikelife,0.4073791874781947
baby,0.4073791874781947
forzanapoli,0.5579065666570046
davedere,0.6077098888076902
verissimo,0.6277694984939347
outfit,0.6277694984939347
loveyou,0.6277694984939347
temptationisland,0.6277694984939347
duo,0.652987784449803
videoai,0.652987784449803
viral,0.652987784449803
immobile,0.652987784449803
italy,0.6854206025555853
grwm,0.7284138874986087
ricetteveloci,0.7284138874986087
lavoro,0.7802468653636428
puglia,0.8267414993613872
perte,0.8789693571689454
viralvideos,0.948810284691114
gymtok,1.0010555850471363
roma,1.0717746520051843
seriea,1.1018918036472374
viralvideotiktok,1.1172406638929382
matrimonio,1.1721264938516531
concerto,1.229306963191072
fyppppppppppppppppppppppp,1.239411243714071
beachvibes,1.3229292783754667
foruyou,1.3229292783754667
ricordi,1.3229292783754667
gym,1.3257547670467895
tiktokcalcio,1.3717920222069253
perteeee,1.4653326412447083
milano,1.4653326412447083
beauty,1.5466254240598332
tiktokfootball,1.8149781409243897
spain,1.8380302560486597
poland,1.8485050150074585
ultimostadi2025,1.876932656184336
girls,1.931607157425778
tiktokviral,1.931607157425778
squidgamenetflix,1.931607157425778
risposte,1.931607157425778
mamma,1.9495964749401689
dance,2.0401131354006905
empatia,2.0995668041334903
sansiro,2.341531290901805
lazza,2.48128645720357
ultimopeterpan,2.5318076797465436
